City,Country,Continent,Latitude,Longitude,WAQI_Status,WAQI_Source,WAQI_Records,WAQI_Available,OPENWEATHERMAP_Status,OPENWEATHERMAP_Source,OPENWEATHERMAP_Records,OPENWEATHERMAP_Available,REALISTIC_HIGH_POLLUTION_Status,REALISTIC_HIGH_POLLUTION_Source,REALISTIC_HIGH_POLLUTION_Records,REALISTIC_HIGH_POLLUTION_Available,ENHANCED_POLLUTION_SCENARIOS_Status,ENHANCED_POLLUTION_SCENARIOS_Source,ENHANCED_POLLUTION_SCENARIOS_Records,ENHANCED_POLLUTION_SCENARIOS_Available,Total_APIs_Attempted,Successful_APIs,API_Success_Rate,Primary_Data_Source,Data_Quality_Level,Real_Data_Available,Fire_Features_Added,Holiday_Features_Added,CAMS_Status,CAMS_Source,CAMS_Records,CAMS_Available,NOAA_Status,NOAA_Source,NOAA_Records,NOAA_Available
Delhi,India,Asia,28.6139,77.209,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Lahore,Pakistan,Asia,31.5497,74.3436,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Dhaka,Bangladesh,Asia,23.8103,90.4125,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Kolkata,India,Asia,22.5726,88.3639,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Muzaffarpur,India,Asia,26.1197,85.391,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Baghdad,Iraq,Asia,33.3152,44.3661,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Ghaziabad,India,Asia,28.6692,77.4538,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Patna,India,Asia,25.5941,85.1376,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Hotan,China,Asia,37.1167,79.9167,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Xinjiang,China,Asia,41.7681,86.925,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Faridabad,India,Asia,28.4089,77.3178,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Noida,India,Asia,28.5355,77.391,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Bahawalpur,Pakistan,Asia,29.3956,71.6833,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Peshawar,Pakistan,Asia,34.0151,71.5249,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Lucknow,India,Asia,26.8467,80.9462,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Bamenda,Cameroon,Asia,5.9597,10.1494,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Dushanbe,Tajikistan,Asia,38.5598,68.787,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Almaty,Kazakhstan,Asia,43.222,76.8512,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Kabul,Afghanistan,Asia,34.5553,69.2075,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Ulaanbaatar,Mongolia,Asia,47.8864,106.9057,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Cairo,Egypt,Africa,30.0444,31.2357,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Khartoum,Sudan,Africa,15.5007,32.5599,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Giza,Egypt,Africa,30.0131,31.2089,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
N'Djamena,Chad,Africa,12.1348,15.0557,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
El Obeid,Sudan,Africa,13.1874,30.2167,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Omdurman,Sudan,Africa,15.6445,32.4777,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Bamako,Mali,Africa,12.6392,-8.0029,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Ouagadougou,Burkina Faso,Africa,12.3714,-1.5197,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Kaduna,Nigeria,Africa,10.5222,7.4383,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Lagos,Nigeria,Africa,6.5244,3.3792,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Accra,Ghana,Africa,5.6037,-0.187,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Kampala,Uganda,Africa,0.3476,32.5825,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Dakar,Senegal,Africa,14.7167,-17.4677,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Abidjan,Ivory Coast,Africa,5.36,-4.0083,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Casablanca,Morocco,Africa,33.5731,-7.5898,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Tripoli,Libya,Africa,32.8872,13.1913,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Douala,Cameroon,Africa,4.0511,9.7679,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Yaoundé,Cameroon,Africa,3.848,11.5021,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Brazzaville,Republic of Congo,Africa,-4.2634,15.2429,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Kinshasa,Democratic Republic of Congo,Africa,-4.4419,15.2663,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Skopje,North Macedonia,Europe,41.9973,21.428,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Sarajevo,Bosnia and Herzegovina,Europe,43.8563,18.4131,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Tuzla,Bosnia and Herzegovina,Europe,44.5376,18.6675,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Zenica,Bosnia and Herzegovina,Europe,44.2169,17.9061,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Tetovo,North Macedonia,Europe,42.0092,20.9717,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Plovdiv,Bulgaria,Europe,42.1354,24.7453,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Sofia,Bulgaria,Europe,42.6977,23.3219,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Kraków,Poland,Europe,50.0647,19.945,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Wrocław,Poland,Europe,51.1079,17.0385,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
